sheet,participant,condition,n_samples,fs_hz,logged_duration_s,window_method,turn_time_s,turn_peak_gyro_mag,onset_s,offset_s,detected_duration_s,duration_diff_s,window_clipped,bout_onset_s,bout_offset_s,bout_duration_s,bout_duration_diff_s,n_bouts,trial_notes
SWEAT_025DTG3,SWEAT-025,DTG3,2062,100.0,21.0,turn_anchored,17.36,53.776744822205266,6.86,20.61,13.75,-7.25,True,10.07,19.56,9.49,-11.51,2,
SWEAT_026DTG TRIAL,SWEAT-026,DTG_TRIAL,2643,100.0,27.0,turn_anchored,11.02,137.177469462495,0.0,24.52,24.52,-2.4800000000000004,True,9.52,23.19,13.67,-13.33,3,
SWEAT_026DTG1,SWEAT-026,DTG1,2586,100.0,25.0,turn_anchored,11.83,336.57609955965376,0.0,24.33,24.33,-0.6700000000000017,True,10.0,23.84,13.84,-11.16,3,
SWEAT_026DTG2,SWEAT-026,DTG2,2263,100.0,24.0,turn_anchored,9.47,275.6362307273588,0.0,21.47,21.47,-2.530000000000001,True,0.0,17.51,17.51,-6.489999999999998,2,
SWEAT_026DTG3,SWEAT-026,DTG3,3290,100.0,22.0,turn_anchored,29.81,1133.3466787141203,18.81,32.89,14.08,-7.92,True,20.85,32.89,12.04,-9.96,3,
SWEAT_027DTG TRIAL,SWEAT-027,DTG_TRIAL,7550,100.0,19.0,turn_anchored,11.22,207.45358842663228,1.72,20.72,19.0,0.0,False,0.05,39.28,39.23,20.229999999999997,4,
SWEAT_027DTG1,SWEAT-027,DTG1,4655,100.0,21.0,turn_anchored,10.66,273.9517366101888,0.16,21.16,21.0,0.0,False,0.52,30.83,30.31,9.309999999999999,3,
SWEAT_027DTG2,SWEAT-027,DTG2,1964,100.0,20.0,turn_anchored,9.42,255.43080849904882,0.0,19.42,19.42,-0.5799999999999983,True,0.34,14.04,13.7,-6.300000000000001,2,
SWEAT_027DTG3,SWEAT-027,DTG3,4706,100.0,20.0,turn_anchored,15.05,228.65315062012195,5.05,25.05,20.0,0.0,False,4.9,28.47,23.57,3.5700000000000003,2,
SWEAT_028DTG TRIAL,SWEAT-028,DTG_TRIAL,4841,100.0,30.0,turn_anchored,16.78,238.0750105758314,1.78,31.78,30.0,0.0,False,3.59,37.85,34.26,4.259999999999998,2,
SWEAT_028DTG1,SWEAT-028,DTG1,3042,100.0,19.0,turn_anchored,11.4,275.07272970507836,1.9,20.9,19.0,0.0,False,2.52,25.15,22.63,3.629999999999999,2,
SWEAT_028DTG2,SWEAT-028,DTG2,1713,100.0,18.0,turn_anchored,5.79,65.02534203564545,0.0,14.79,14.79,-3.210000000000001,True,0.26,8.81,8.55,-9.45,2,
SWEAT_028DTG3,SWEAT-028,DTG3,3419,100.0,19.0,turn_anchored,12.48,294.2135360918258,2.98,21.98,19.0,0.0,False,2.58,26.76,24.18,5.18,2,
SWEAT_029DTG TRIAL,SWEAT-029,DTG_TRIAL,3864,100.0,34.0,turn_anchored,20.14,130.54472092602364,3.14,37.14,34.0,0.0,False,3.49,38.63,35.14,1.1400000000000006,1,
SWEAT_029DTG1,SWEAT-029,DTG1,3994,100.0,28.0,turn_anchored,32.75,318.1590739769586,18.75,39.93,21.18,-6.82,True,3.46,36.36,32.9,4.899999999999999,1,
SWEAT_029DTG2,SWEAT-029,DTG2,5569,100.0,28.0,turn_anchored,15.74,238.0609371375479,1.74,29.74,28.0,0.0,False,2.17,37.33,35.16,7.159999999999997,2,
SWEAT_029DTG3,SWEAT-029,DTG3,4808,100.0,22.0,turn_anchored,14.15,296.41643120158903,3.15,25.15,22.0,0.0,False,2.77,27.44,24.67,2.6700000000000017,5,
SWEAT_030DTG TRIAL,SWEAT-030,DTG_TRIAL,4753,100.0,24.0,turn_anchored,13.97,137.52707310643726,1.97,25.97,24.0,0.0,False,3.07,27.82,24.75,0.75,3,
SWEAT_030DTG1,SWEAT-030,DTG1,3639,100.0,21.0,turn_anchored,15.09,178.47581626367898,4.59,25.59,21.0,0.0,False,4.14,27.57,23.43,2.4299999999999997,2,
SWEAT_030DTG2,SWEAT-030,DTG2,6451,100.0,26.0,turn_anchored,20.42,190.70475261174292,7.42,33.42,26.0,0.0,False,5.72,34.12,28.4,2.3999999999999986,5,
SWEAT_030DTG3,SWEAT-030,DTG3,3955,100.0,17.0,turn_anchored,12.16,198.74671998022194,3.66,20.66,17.0,0.0,False,3.37,22.15,18.78,1.7800000000000011,2,
SWEAT_031DTG TRIAL,SWEAT-031,DTG_TRIAL,1680,100.0,17.0,turn_anchored,8.66,237.1288570599429,0.16,16.79,16.63,-0.370000000000001,True,0.0,16.79,16.79,-0.21000000000000085,1,
SWEAT_031DTG1,SWEAT-031,DTG1,1870,100.0,18.0,turn_anchored,9.11,251.2412301859464,0.11,18.11,18.0,0.0,False,0.31,18.69,18.38,0.379999999999999,1,
SWEAT_031DTG2,SWEAT-031,DTG2,3521,100.0,14.0,turn_anchored,30.27,683.7229127855909,23.27,35.2,11.93,-2.0700000000000003,True,5.81,34.49,28.68,14.68,1,
SWEAT_031DTG3,SWEAT-031,DTG3,4482,100.0,15.0,turn_anchored,15.18,348.8756846007941,7.68,22.68,15.0,0.0,False,4.89,29.59,24.7,9.7,2,
SWEAT_032DTG TRIAL,SWEAT-032,DTG_TRIAL,4739,100.0,29.0,turn_anchored,20.5,217.14302593813625,6.0,35.0,29.0,0.0,False,3.52,38.35,34.83,5.829999999999998,2,Didn't complete Test 3
SWEAT_032DTG1,SWEAT-032,DTG1,4368,100.0,23.0,turn_anchored,14.75,210.4625899245383,3.25,26.25,23.0,0.0,False,3.8,33.25,29.45,6.449999999999999,3,Didn't complete Test 3
SWEAT_032DTG2,SWEAT-032,DTG2,2228,100.0,22.0,turn_anchored,10.3,238.7118488258274,0.0,21.3,21.3,-0.6999999999999993,True,1.62,15.71,14.09,-7.91,2,Didn't complete Test 3
SWEAT_033DTG TRIAL,SWEAT-033,DTG_TRIAL,1920,100.0,19.0,turn_anchored,9.54,183.98466886804837,0.04,19.04,19.0,0.0,False,0.47,18.97,18.5,-0.5,1,
SWEAT_033DTG1,SWEAT-033,DTG1,1991,100.0,20.0,turn_anchored,9.24,198.59231198730177,0.0,19.24,19.24,-0.7600000000000016,True,0.01,19.9,19.89,-0.10999999999999943,1,
SWEAT_033DTG2,SWEAT-033,DTG2,1764,100.0,18.0,turn_anchored,8.48,212.89612038441948,0.0,17.48,17.48,-0.5199999999999996,True,0.0,17.63,17.63,-0.370000000000001,1,
SWEAT_033DTG3,SWEAT-033,DTG3,2869,100.0,18.0,turn_anchored,14.35,186.56266599418151,5.35,23.35,18.0,0.0,False,5.43,28.68,23.25,5.25,1,
SWEAT_034DTG TRIAL,SWEAT-034,DTG_TRIAL,2142,100.0,22.0,turn_anchored,10.54,261.8011734270411,0.0,21.41,21.41,-0.5899999999999999,True,7.07,21.08,14.01,-7.99,2,
SWEAT_034DTG1,SWEAT-034,DTG1,1545,100.0,16.0,turn_anchored,7.65,263.27497299289854,0.0,15.44,15.44,-0.5600000000000005,True,0.46,15.44,14.98,-1.0199999999999996,1,
SWEAT_034DTG2,SWEAT-034,DTG2,3065,100.0,19.0,turn_anchored,15.39,236.8429787750686,5.89,24.89,19.0,0.0,False,5.45,30.64,25.19,6.190000000000001,1,
SWEAT_034DTG3,SWEAT-034,DTG3,3678,100.0,16.0,turn_anchored,31.66,1342.5871046190557,23.66,36.77,13.11,-2.8900000000000006,True,4.88,35.22,30.34,14.34,1,
SWEAT_035DTG TRIAL,SWEAT-035,DTG_TRIAL,3482,100.0,24.0,turn_anchored,16.19,259.56678309561914,4.19,28.19,24.0,0.0,False,3.6,30.83,27.23,3.2300000000000004,2,
